sample_id	pop
HGDP00703	Colombian
HGDP00704	Colombian
HGDP00708	Colombian
HGDP00710	Colombian
HGDP00832	Surui
HGDP00837	Surui
HGDP00838	Surui
HGDP00843	Surui
HGDP00845	Surui
HGDP00849	Surui
HGDP00854	Maya
HGDP00856	Maya
HGDP00858	Maya
HGDP00859	Maya
HGDP00860	Maya
HGDP00861	Maya
HGDP00862	Maya
HGDP00863	Maya
HGDP00864	Maya
HGDP00865	Maya
HGDP00868	Maya
HGDP00869	Maya
HGDP00870	Maya
HGDP00871	Maya
HGDP00872	Maya
HGDP00873	Maya
HGDP00875	Maya
HGDP00876	Maya
HGDP00877	Maya
HGDP00970	Colombian
HGDP00995	Karitiana
HGDP00999	Karitiana
HGDP01001	Karitiana
HGDP01009	Karitiana
HGDP01010	Karitiana
HGDP01013	Karitiana
HGDP01014	Karitiana
HGDP01019	Karitiana
HGDP01037	Pima
HGDP01041	Pima
HGDP01043	Pima
HGDP01050	Pima
HGDP01053	Pima
HGDP01055	Pima
HGDP01056	Pima
HGDP01057	Pima
HGDP01058	Pima
HGDP01059	Pima
HGDP01060	Pima
LP6005441-DNA_A04	Colombian
LP6005441-DNA_A12	Surui
LP6005441-DNA_B04	Colombian
LP6005441-DNA_B12	Surui
LP6005441-DNA_E10	Pima
LP6005441-DNA_F10	Pima
LP6005441-DNA_G06	Karitiana
LP6005441-DNA_G07	Maya
LP6005441-DNA_H06	Karitiana
LP6005441-DNA_H07	Maya
SS6004476	Karitiana
HGDP01006	Karitiana
HGDP01051	Pima
HG00551	PUR
HG00552	PUR
HG00553	PUR
HG00554	PUR
HG00555	PUR
HG00637	PUR
HG00638	PUR
HG00639	PUR
HG00640	PUR
HG00641	PUR
HG00642	PUR
HG00734	PUR
HG00735	PUR
HG00739	PUR
HG00740	PUR
HG00741	PUR
HG00742	PUR
HG00743	PUR
HG01047	PUR
HG01048	PUR
HG01049	PUR
HG01050	PUR
HG01051	PUR
HG01052	PUR
HG01053	PUR
HG01054	PUR
HG01055	PUR
HG01056	PUR
HG01058	PUR
HG01060	PUR
HG01061	PUR
HG01062	PUR
HG01063	PUR
HG01064	PUR
HG01066	PUR
HG01067	PUR
HG01068	PUR
HG01069	PUR
HG01070	PUR
HG01071	PUR
HG01072	PUR
HG01073	PUR
