track	panel	ancestry	chr	tp	fp	fn	n_sites	recall	precision	f1	concordance
NAT	NAT_HGDP	AFR	20	137886	5436	4500	142386	0.9683957692469766	0.9620714196006196	0.9652232349111681	0.9683957692469766
NAT	NAT_HGDP	AFR	21	69636	2655	1552	71188	0.9781985727931674	0.9632734365273685	0.9706786358979361	0.9781985727931674
NAT	NAT_HGDP	AFR	22	94405	4272	2035	96440	0.9788987971795935	0.956707236742098	0.9676758047735461	0.9788987971795935
NAT	NAT_HGDP	EUR	20	344548	11224	7440	351988	0.9788629157812199	0.9684517050245663	0.9736294789194078	0.9788629157812199
NAT	NAT_HGDP	EUR	21	179605	3881	4696	184301	0.9745199429194633	0.9788485225030793	0.9766794367391997	0.9745199429194633
NAT	NAT_HGDP	EUR	22	175950	4768	4938	180888	0.9727013400557251	0.9736163525492757	0.9731586312174024	0.9727013400557251
NAT	NAT_HGDP	NAT	20	66139	2880	8347	74486	0.8879386730392288	0.9582723597849867	0.9217657921326782	0.8879386730392288
NAT	NAT_HGDP	NAT	21	49015	2079	2696	51711	0.9478640908123996	0.9593102908364974	0.9535528427605662	0.9478640908123996
NAT	NAT_HGDP	NAT	22	46087	2658	4725	50812	0.9070101550814769	0.9454713303928608	0.9258414777464166	0.9070101550814769
NAT	NAT_HGDPMXB	AFR	20	138549	6231	3837	142386	0.9730521259112553	0.9569622876087858	0.9649401391529637	0.9730521259112553
NAT	NAT_HGDPMXB	AFR	21	69458	3356	1730	71188	0.9756981513738271	0.9539099623698739	0.9646810460965819	0.9756981513738271
NAT	NAT_HGDPMXB	AFR	22	94518	5116	1922	96440	0.9800705101617586	0.9486520665636229	0.9641053887817865	0.9800705101617586
NAT	NAT_HGDPMXB	EUR	20	345281	11709	6707	351988	0.9809453731377206	0.9672007619261044	0.9740245818629069	0.9809453731377206
NAT	NAT_HGDPMXB	EUR	21	179866	5208	4435	184301	0.9759361045246635	0.971859904686774	0.9738937394247039	0.9759361045246635
NAT	NAT_HGDPMXB	EUR	22	175733	4519	5155	180888	0.9715017027110698	0.9749295430841267	0.9732126045300991	0.9715017027110698
NAT	NAT_HGDPMXB	NAT	20	65260	1661	9226	74486	0.8761377977069517	0.9751796894846162	0.9230094691210478	0.8761377977069517
NAT	NAT_HGDPMXB	NAT	21	47676	1201	4035	51711	0.9219701804258281	0.9754281154735356	0.947946077066847	0.9219701804258281
NAT	NAT_HGDPMXB	NAT	22	46185	2037	4627	50812	0.9089388333464536	0.9577578698519348	0.9327099783912596	0.9089388333464536
NAT	NAT_HGDPMXB_FULL	AFR	20	138531	5553	3855	142386	0.9729257089882433	0.9614599816773549	0.9671588648025972	0.9729257089882433
NAT	NAT_HGDPMXB_FULL	AFR	21	69392	3461	1796	71188	0.9747710288250829	0.9524933770743826	0.9635034469352475	0.9747710288250829
NAT	NAT_HGDPMXB_FULL	AFR	22	94685	5145	1755	96440	0.9818021567814185	0.9484623860562957	0.9648443470729099	0.9818021567814185
NAT	NAT_HGDPMXB_FULL	EUR	20	345966	11586	6022	351988	0.982891462208939	0.9675963216539133	0.9751839219776193	0.982891462208939
NAT	NAT_HGDPMXB_FULL	EUR	21	179551	6078	4750	184301	0.9742269439666632	0.9672572712237851	0.9707295974914173	0.9742269439666632
NAT	NAT_HGDPMXB_FULL	EUR	22	176013	4672	4875	180888	0.9730496218654637	0.9741428452832277	0.9735959266870037	0.9730496218654637
NAT	NAT_HGDPMXB_FULL	NAT	20	65423	1632	9063	74486	0.8783261283999678	0.9756617701886511	0.9244388551727062	0.8783261283999678
NAT	NAT_HGDPMXB_FULL	NAT	21	46935	1346	4776	51711	0.9076405406973371	0.9721215384934032	0.9387751020081607	0.9076405406973371
NAT	NAT_HGDPMXB_FULL	NAT	22	45858	1767	4954	50812	0.902503345666378	0.9628976377952756	0.9317228277984905	0.902503345666378
NAT	NAT_HOMOG	AFR	20	138110	5729	4276	142386	0.9699689576222381	0.9601707464595833	0.9650449820945062	0.9699689576222381
NAT	NAT_HOMOG	AFR	21	69589	3041	1599	71188	0.9775383491599707	0.9581302492083161	0.9677370009317331	0.9775383491599707
NAT	NAT_HOMOG	AFR	22	94218	4568	2222	96440	0.9769597677312318	0.9537586297653514	0.9652197965434931	0.9769597677312318
NAT	NAT_HOMOG	EUR	20	345664	11719	6324	351988	0.9820334784140369	0.967208848770087	0.9745647904974971	0.9820334784140369
NAT	NAT_HOMOG	EUR	21	179951	4509	4350	184301	0.9763973065799969	0.975555676027323	0.9759763098592312	0.9763973065799969
NAT	NAT_HOMOG	EUR	22	176082	4978	4806	180888	0.9734310733713679	0.9725063514856953	0.9729684927116602	0.9734310733713679
NAT	NAT_HOMOG	NAT	20	65757	1712	8729	74486	0.8828101925193996	0.9746253835094636	0.9264485224190765	0.8828101925193996
NAT	NAT_HOMOG	NAT	21	48245	1430	3466	51711	0.9329736419717275	0.9712128837443382	0.9517093089775709	0.9329736419717275
NAT	NAT_HOMOG	NAT	22	46065	2229	4747	50812	0.90657718649138	0.9538451981612622	0.9296107198353277	0.90657718649138
NAT	NAT_PEL	AFR	20	138581	5952	3805	142386	0.9732768671077212	0.958819093217466	0.9659938867764072	0.9732768671077212
NAT	NAT_PEL	AFR	21	69279	3150	1909	71188	0.9731836826431421	0.9565091330820528	0.9647743651517579	0.9731836826431421
NAT	NAT_PEL	AFR	22	94299	4819	2141	96440	0.9777996681874741	0.9513811820254646	0.9644095357898935	0.9777996681874741
NAT	NAT_PEL	EUR	20	344242	11107	7746	351988	0.9779935679625442	0.9687434043714771	0.9733465095138527	0.9779935679625442
NAT	NAT_PEL	EUR	21	179284	3485	5017	184301	0.972778226922263	0.9809322149817529	0.9768382052469555	0.972778226922263
NAT	NAT_PEL	EUR	22	175913	4739	4975	180888	0.9724967935960374	0.9737672430972256	0.9731316036953035	0.9724967935960374
NAT	NAT_PEL	NAT	20	65608	2769	8878	74486	0.8808098166098327	0.9595039267589979	0.9184743425519553	0.8808098166098327
NAT	NAT_PEL	NAT	21	49376	2115	2335	51711	0.9548451973467927	0.9589248606552602	0.9568806806069651	0.9548451973467927
NAT	NAT_PEL	NAT	22	46077	2019	4735	50812	0.9068133511768873	0.9580214570858283	0.9317143203785336	0.9068133511768873
NAT	NAT_PEL_EAS	AFR	20	139107	6762	3279	142386	0.9769710505246302	0.9536433375151677	0.9651662590414737	0.9769710505246302
NAT	NAT_PEL_EAS	AFR	21	69878	2604	1310	71188	0.9815980221385627	0.9640738390221021	0.9727570125983156	0.9815980221385627
NAT	NAT_PEL_EAS	AFR	22	94594	4919	1846	96440	0.9808585649108253	0.9505692723563756	0.9654764152628437	0.9808585649108253
NAT	NAT_PEL_EAS	EUR	20	340447	11977	11541	351988	0.9672119504074003	0.9660153678523596	0.9666132888139328	0.9672119504074003
NAT	NAT_PEL_EAS	EUR	21	178590	4401	5711	184301	0.9690126477881292	0.9759496368673869	0.9724687714407066	0.9690126477881292
NAT	NAT_PEL_EAS	EUR	22	174595	5891	6293	180888	0.9652105170049976	0.9673603492791685	0.9662842373828775	0.9652105170049976
NAT	NAT_PEL_EAS	NAT	20	63954	5999	10532	74486	0.8586043014794726	0.9142424199105114	0.8855503015113647	0.8586043014794726
NAT	NAT_PEL_EAS	NAT	21	47657	3033	4054	51711	0.9216027537661232	0.9401657131584139	0.9307916914873878	0.9216027537661232
NAT	NAT_PEL_EAS	NAT	22	44760	3076	6052	50812	0.8808942769424546	0.9356969646291496	0.9074689806179547	0.8808942769424546
NATMXB	NAT_HGDP	AFR	20	157712	5884	4559	162271	0.971905023078677	0.9640333504486662	0.967953183353945	0.971905023078677
NATMXB	NAT_HGDP	AFR	21	53619	1774	1531	55150	0.9722393472348141	0.9679742927806763	0.9701021322019485	0.9722393472348141
NATMXB	NAT_HGDP	AFR	22	72174	3060	2451	74625	0.9671557788944724	0.959326900071776	0.9632254319059915	0.9671557788944724
NATMXB	NAT_HGDP	EUR	20	319555	9557	6699	326254	0.9794669184132608	0.9709612533119424	0.9751955395916175	0.9794669184132608
NATMXB	NAT_HGDP	EUR	21	199283	3532	4160	203443	0.9795520121115006	0.9825851145132264	0.9810662190036873	0.9795520121115006
NATMXB	NAT_HGDP	EUR	22	194113	5028	4664	198777	0.9765365208248439	0.9747515579413581	0.9756432229755879	0.9765365208248439
NATMXB	NAT_HGDP	NAT	20	72675	3007	7660	80335	0.9046492811352461	0.9602679633202083	0.9316292455309357	0.9046492811352461
NATMXB	NAT_HGDP	NAT	21	46224	2115	2383	48607	0.9509741395272285	0.9562465090299758	0.9536030367421038	0.9509741395272285
NATMXB	NAT_HGDP	NAT	22	51244	2134	3494	54738	0.9361686579706968	0.9600209824272172	0.9479448000295979	0.9361686579706968
NATMXB	NAT_HGDPMXB	AFR	20	158072	6107	4199	162271	0.9741235340880379	0.9628027945108693	0.9684300811762904	0.9741235340880379
NATMXB	NAT_HGDPMXB	AFR	21	53806	2106	1344	55150	0.9756300997280145	0.9623336671913006	0.9689362698312655	0.9756300997280145
NATMXB	NAT_HGDPMXB	AFR	22	72225	3038	2400	74625	0.9678391959798995	0.9596348803528958	0.9637195772843723	0.9678391959798995
NATMXB	NAT_HGDPMXB	EUR	20	320229	8926	6025	326254	0.9815327934676663	0.9728820768331029	0.9771882900600999	0.9815327934676663
NATMXB	NAT_HGDPMXB	EUR	21	199186	3470	4257	203443	0.9790752200862158	0.9828773882835938	0.9809726199769022	0.9790752200862158
NATMXB	NAT_HGDPMXB	EUR	22	194260	4916	4517	198777	0.9772760430029631	0.9753183114431457	0.9762961957819138	0.9772760430029631
NATMXB	NAT_HGDPMXB	NAT	20	73321	2039	7014	80335	0.9126906080786705	0.9729432059447983	0.9418542663540898	0.9126906080786705
NATMXB	NAT_HGDPMXB	NAT	21	46124	2048	2483	48607	0.9489168226798609	0.9574856763264967	0.9531819919610659	0.9489168226798609
NATMXB	NAT_HGDPMXB	NAT	22	51490	1824	3248	54738	0.9406627936716724	0.9657875980042766	0.9530596379520971	0.9406627936716724
NATMXB	NAT_HOMOG	AFR	20	157952	6148	4319	162271	0.973384030418251	0.9625350396099939	0.9679291358607229	0.973384030418251
NATMXB	NAT_HOMOG	AFR	21	53908	2602	1242	55150	0.977479601087942	0.9539550522031499	0.9655740641232313	0.977479601087942
NATMXB	NAT_HOMOG	AFR	22	72270	2669	2355	74625	0.9684422110552764	0.9643843659509734	0.9664090289107005	0.9684422110552764
NATMXB	NAT_HOMOG	EUR	20	320320	9076	5934	326254	0.9818117172509763	0.9724465385129145	0.9771066880195226	0.9818117172509763
NATMXB	NAT_HOMOG	EUR	21	199043	3597	4400	203443	0.9783723205025486	0.982249309119621	0.9803069815776578	0.9783723205025486
NATMXB	NAT_HOMOG	EUR	22	194927	4820	3850	198777	0.98063156200164	0.9758694748857305	0.9782447230279733	0.98063156200164
