track	panel	ancestry	weighted_concordance	weighted_recall	weighted_precision	weighted_f1	total_sites	n_haps_chr	tp	fp	fn	unweighted_mean	se
NAT	NAT_HGDP	AFR	0.9848028663276466	0.9848028663276466	0.9731732512098804	0.9789535210778856	13578350	167	13371998	368616	206352	0.9574258831883827	0.011966920776497211
NAT	NAT_HGDP	EUR	0.9862098907178922	0.9862098907178922	0.9795303710427111	0.982858782488055	31092647	179	30663876	640795	428771	0.9754253328161105	0.006054939422172133
NAT	NAT_HGDP	NAT	0.9265991177882429	0.9265991177882429	0.9768561546427547	0.951064166526986	7685003	137	7120917	168710	564086	0.8728650625180612	0.023121919536980555
NAT	NAT_HGDPMXB	AFR	0.9858117517960577	0.9858117517960577	0.9723586310658835	0.9790389782773644	13578350	167	13385697	380517	192653	0.9573007926878493	0.01202487677983398
NAT	NAT_HGDPMXB	EUR	0.9882753629821224	0.9882753629821224	0.9760662810696087	0.982132880132815	31092647	179	30728097	753471	364550	0.9781001198226509	0.006044767522149997
NAT	NAT_HGDPMXB	NAT	0.9112147386279484	0.9112147386279484	0.9875266847154858	0.9478371924036186	7685003	137	7002688	88450	682315	0.8361650728934774	0.025451664772969815
NAT	NAT_HGDPMXB_FULL	AFR	0.987078768775293	0.987078768775293	0.9716725244387994	0.9793150589343339	13578350	167	13402901	390739	175449	0.9637821904315729	0.010510673135181954
NAT	NAT_HGDPMXB_FULL	EUR	0.9887431906328207	0.9887431906328207	0.9696156343860359	0.9790860017914077	31092647	179	30742643	963367	350004	0.9786665866117813	0.00599028895216633
NAT	NAT_HGDPMXB_FULL	NAT	0.882190807212437	0.882190807212437	0.9912245637941067	0.9335347746106054	7685003	137	6779639	60021	905364	0.7904120802319909	0.027951239621543778
NAT	NAT_HOMOG	AFR	0.9869637327068458	0.9869637327068458	0.9727919140323699	0.9798265821740852	13578350	167	13401339	374823	177011	0.959132157548131	0.011978048774608882
NAT	NAT_HOMOG	EUR	0.9882986160682942	0.9882986160682942	0.9766795687824315	0.9824547403239319	31092647	179	30728820	733720	363827	0.9785992068053755	0.005975827876173091
NAT	NAT_HOMOG	NAT	0.9121319796491947	0.9121319796491947	0.9873170771557385	0.9482365182695238	7685003	137	7009737	90046	675266	0.8466040723139521	0.02463386327936574
NAT	NAT_PEL	AFR	0.9866184035615521	0.9866184035615521	0.9718842649081706	0.9791959105570303	13578350	167	13396650	387553	181700	0.9639245986405766	0.010481949170493108
NAT	NAT_PEL	EUR	0.9856288208591568	0.9856288208591568	0.9806137664170874	0.9831148979951786	31092647	179	30645809	605852	446838	0.9740723419455874	0.0060858393901658606
NAT	NAT_PEL	NAT	0.9291965143019463	0.9291965143019463	0.9786331984200718	0.9532743417175117	7685003	137	7140878	155909	544125	0.8800261006932504	0.02185702014872585
NAT	NAT_PEL_EAS	AFR	0.9897243037629756	0.9897243037629756	0.9689958348276932	0.9792503881275312	13578350	167	13438823	429991	139527	0.9737565668956581	0.008676888799076335
NAT	NAT_PEL_EAS	EUR	0.9831892086897587	0.9831892086897587	0.9788750010326714	0.9810273617983692	31092647	179	30569955	659727	522692	0.9725145831720237	0.006069329360330566
NAT	NAT_PEL_EAS	NAT	0.9169729666989069	0.9169729666989069	0.9736282253177547	0.94445170774392	7685003	137	7046940	190874	638063	0.8659833205843305	0.022540513379114873
NATMXB	NAT_HGDP	AFR	0.9844115840028692	0.9844115840028692	0.9660666847610886	0.9751528644312749	12669472	158	12471975	438081	197497	0.9589173418378374	0.011369114431437517
NATMXB	NAT_HGDP	EUR	0.9848278188911199	0.9848278188911199	0.9803787609488709	0.9825982537785596	31630851	179	31150942	623453	479909	0.9826964696409267	0.002166062506431021
NATMXB	NAT_HGDP	NAT	0.9314912948967542	0.9314912948967542	0.9827581690752153	0.9564382247053252	8055677	134	7503793	131649	551884	0.8981581934723789	0.018281174602623823
NATMXB	NAT_HGDPMXB	AFR	0.9842825336367609	0.9842825336367609	0.968042880258146	0.976095165353214	12669472	158	12470340	411672	199132	0.9580605189552789	0.01146006033142518
