track	panel	ancestry	n	base_mean	alt_mean	delta	wilcox_p	bonferroni_p	signif
NAT	NAT_PEL	NAT	1136	0.9138004744668609	0.9155892784418365	0.0017888039749755537	0.22465949678127642	1	n.s.
NATMXB	NAT_PEL	NAT	1135	0.9175488997605034	0.9177041647247265	1.5526496422312957e-4	0.2856438304656778	1	n.s.
NAT	NAT_PEL_EAS	NAT	501	0.9036014433434106	0.8987767744395012	-0.00482466890390946	0.008863185366372196	0.23930600489204928	n.s.
NATMXB	NAT_PEL_EAS	NAT	494	0.8908326867303608	0.8663003481012191	-0.02453233862914161	9.99649194402708e-6	2.6990528248873116e-4	***
NAT	NAT_HGDPMXB	NAT	1188	0.9136798337735484	0.8917704789840156	-0.02190935478953284	3.0355349120134536e-65	8.195944262436325e-64	***
NATMXB	NAT_HGDPMXB	NAT	1186	0.9162967759284898	0.9245138526700197	0.008217076741529933	0.023604617727203313	0.6373246786344895	n.s.
NAT	NAT_HGDPMXB_FULL	NAT	1188	0.9136798337735484	0.8635312604542277	-0.05014857331932076	2.8205488413571744e-120	7.615481871664371e-119	***
NAT	NAT_HOMOG	NAT	1188	0.9136798337735484	0.8902338550407414	-0.023445978732807047	5.042130778085821e-68	1.3613753100831716e-66	***
NATMXB	NAT_HOMOG	NAT	1186	0.9162967759284898	0.9203243453920035	0.004027569463513744	0.2406848617752515	1	n.s.
NAT	NAT_PEL	EUR	1259	0.9816794827316887	0.981482087954234	-1.9739477745478272e-4	0.5345154797161882	1	n.s.
NATMXB	NAT_PEL	EUR	1259	0.9836351203202939	0.9837148737850053	7.975346471145746e-5	0.8970231464870713	1	n.s.
NAT	NAT_PEL_EAS	EUR	599	0.9804986342605096	0.976472166612616	-0.004026467647893591	9.655475644878638e-9	2.6069784241172324e-7	***
NATMXB	NAT_PEL_EAS	EUR	599	0.9823098685803071	0.9775501376816775	-0.004759730898629519	9.814929870509937e-9	2.650031065037683e-7	***
NAT	NAT_HGDPMXB	EUR	1319	0.9817432026584885	0.9841327019744498	0.002389499315961431	9.797818843967867e-43	2.645411087871324e-41	***
NATMXB	NAT_HGDPMXB	EUR	1319	0.9837603977030485	0.9857533192428003	0.0019929215397519167	9.803841326397791e-20	2.6470371581274037e-18	***
NAT	NAT_HGDPMXB_FULL	EUR	1319	0.9817432026584885	0.9849311437327166	0.0031879410742282495	1.8506275789449952e-58	4.996694463151487e-57	***
NAT	NAT_HOMOG	EUR	1319	0.9817432026584885	0.9848265075421765	0.0030833048836880236	6.298994081309983e-50	1.7007284019536956e-48	***
NATMXB	NAT_HOMOG	EUR	1319	0.9837603977030485	0.9861789470570821	0.00241854935403371	3.684348149644919e-24	9.947740004041281e-23	***
NAT	NAT_PEL	AFR	1222	0.9714146799193069	0.9750878973487862	0.003673217429479293	4.145926211003376e-12	1.1194000769709115e-10	***
NATMXB	NAT_PEL	AFR	1220	0.9675969437102276	0.9244126887017056	-0.043184255008522014	0.07899011785033039	1	n.s.
NAT	NAT_PEL_EAS	AFR	568	0.9590529711441717	0.9736337122948285	0.014580741150656884	3.361869562672908e-19	9.077047819216851e-18	***
NATMXB	NAT_PEL_EAS	AFR	565	0.9529710875748798	0.9710894678480568	0.018118380273177092	1.0433913029122792e-14	2.8171565178631536e-13	***
NAT	NAT_HGDPMXB	AFR	1279	0.9694242561356536	0.970775455587221	0.0013511994515673109	0.05292926328553059	1	n.s.
NATMXB	NAT_HGDPMXB	AFR	1279	0.9676958386828652	0.9697738387723102	0.002078000089444887	0.2214135091131341	1	n.s.
NAT	NAT_HGDPMXB_FULL	AFR	1279	0.9694242561356536	0.9720572013054891	0.0026329451698354554	1.052638993444286e-6	2.8421252822995718e-5	***
NAT	NAT_HOMOG	AFR	1279	0.9694242561356536	0.9250628775765722	-0.04436137855908139	0.04178294502041254	1	n.s.
NATMXB	NAT_HOMOG	AFR	1279	0.9676958386828652	0.9230542758290737	-0.04464156285379152	0.0021570293225352034	0.05823979170845049	n.s.
