track	panel	ancestry	chr	tp	fp	fn	n_sites	recall	precision	f1	concordance
NAT	NAT_HGDP	AFR	1	407060	21982	9168	416228	0.9779736106172578	0.9487649227814526	0.9631478699113893	0.9779736106172578
NAT	NAT_HGDP	AFR	2	412109	18007	12147	424256	0.9713687019158244	0.95813454974937	0.9647062403730459	0.9713687019158244
NAT	NAT_HGDP	AFR	3	363798	14901	7567	371365	0.9796238202307702	0.9606521274151767	0.9700452228076538	0.9796238202307702
NAT	NAT_HGDP	AFR	4	345188	15130	8435	353623	0.9761469135208966	0.9580093139948601	0.9669930708559951	0.9761469135208966
NAT	NAT_HGDP	AFR	5	297267	10612	7377	304644	0.9757848505140426	0.9655319135114769	0.9706313069060264	0.9757848505140426
NAT	NAT_HGDP	AFR	6	475990	60437	8387	484377	0.9826849747201044	0.8873341573037897	0.9325786340962614	0.9826849747201044
NAT	NAT_HGDP	AFR	7	342799	14023	7414	350213	0.9788300262982813	0.96070029314336	0.9696804260043704	0.9788300262982813
NAT	NAT_HGDP	AFR	8	281952	10566	6371	288323	0.9779032543362826	0.9638791458987139	0.9708405570543401	0.9779032543362826
NAT	NAT_HGDP	AFR	9	186342	16945	5183	191525	0.9729382587129618	0.9166449404044528	0.9439530713352178	0.9729382587129618
NAT	NAT_HGDP	AFR	10	290939	11204	6821	297760	0.9770922890918861	0.9629182208424488	0.9699534758119229	0.9770922890918861
NAT	NAT_HGDP	AFR	11	258315	15890	6342	264657	0.9760369081490382	0.9420506555314454	0.9587426836555557	0.9760369081490382
NAT	NAT_HGDP	AFR	12	286254	7152	5161	291415	0.9822898615376696	0.9756242203635918	0.9789456944945547	0.9822898615376696
NAT	NAT_HGDP	AFR	13	175453	7790	4808	180261	0.9733275639212031	0.9574881441583034	0.9653428848100708	0.9733275639212031
NAT	NAT_HGDP	AFR	14	186747	8422	3986	190733	0.9791016761651103	0.9568476551091618	0.9678467590217206	0.9791016761651103
NAT	NAT_HGDP	AFR	15	200472	7762	4973	205445	0.9757940081286962	0.9627246271022023	0.9692152611082506	0.9757940081286962
