track	panel	ancestry	weighted_concordance	weighted_recall	weighted_precision	weighted_f1	total_sites	n_haps_chr	tp	fp	fn	unweighted_mean	se
NAT	NAT_HGDP	AFR	0.976643785060658	0.976643785060658	0.950773489813289	0.9635350185260841	5572307	1279	5442159	281769	130148	0.9523834268932665	0.0036505693636557923
NAT	NAT_HGDP	EUR	0.9733525345154502	0.9733525345154502	0.9768821931730091	0.975114169744037	13304042	1319	12949523	306449	354519	0.9695630176880397	0.0014177843151684255
NAT	NAT_HGDP	NAT	0.9284848116745058	0.9284848116745058	0.9608935540052881	0.9444112272438814	3325811	1187	3087965	125674	237846	0.893638203939515	0.005958422533683223
NAT	NAT_HGDPMXB	AFR	0.977847236342147	0.977847236342147	0.9501902432976272	0.9638203750908966	5572307	1279	5448865	285634	123442	0.9551107820784267	0.003489276742049748
NAT	NAT_HGDPMXB	EUR	0.9749037923963259	0.9749037923963259	0.9762786061323234	0.9755907149137046	13304042	1319	12970161	315146	333881	0.9715855295627497	0.0013615193535886382
NAT	NAT_HGDPMXB	NAT	0.9248838854643273	0.9248838854643273	0.9687714950880968	0.9463191177296258	3325811	1187	3075989	99155	249822	0.8855581556070234	0.006195710592924537
NAT	NAT_HGDPMXB_FULL	AFR	0.9792247627418948	0.9792247627418948	0.9505379082609338	0.9646681135253709	5572307	1279	5456541	283936	115766	0.957014190771123	0.0034628947711152313
NAT	NAT_HGDPMXB_FULL	EUR	0.9759183712739331	0.9759183712739331	0.9763435020655727	0.9761308903808322	13304042	1319	12983659	314590	320383	0.9727260635729452	0.001350920123281541
NAT	NAT_HGDPMXB_FULL	NAT	0.9229126369478001	0.9229126369478001	0.9724338527786331	0.9470263048892709	3325811	1187	3069433	87011	256378	0.8803027948916575	0.006300462328126869
NAT	NAT_HOMOG	AFR	0.9781063749718025	0.9781063749718025	0.950449842460971	0.9640798039473557	5572307	1279	5450309	284143	121998	0.9542709920293784	0.0035957660004795056
NAT	NAT_HOMOG	EUR	0.9750345045513236	0.9750345045513236	0.976542032885299	0.9757876864604202	13304042	1319	12971900	311604	332142	0.9717971137184058	0.0013726966268960861
NAT	NAT_HOMOG	NAT	0.9253989478055127	0.9253989478055127	0.9687700371145989	0.9465879550859271	3325811	1187	3077702	99215	248109	0.8854958660257918	0.006204262176183142
NAT	NAT_PEL	AFR	0.978773782564385	0.978773782564385	0.9521264747061062	0.9652662561090961	5572307	1279	5454028	274232	118279	0.9547354597939697	0.003537948263799716
NAT	NAT_PEL	EUR	0.9731628177361437	0.9731628177361437	0.9780058574601109	0.9755783270891267	13304042	1319	12946999	291162	357043	0.9692932295621726	0.001387213965733483
NAT	NAT_PEL	NAT	0.9295669537445153	0.9295669537445153	0.9582061537164549	0.9436693126404964	3325811	1187	3091564	134844	234247	0.8945244513449399	0.005975286274293324
NAT	NAT_PEL_EAS	AFR	0.9795547876310476	0.9795547876310476	0.9497190276653832	0.9644062061879896	5572307	1279	5458380	288983	113927	0.960986380794615	0.003041478732828967
NAT	NAT_PEL_EAS	EUR	0.9682558127823108	0.9682558127823108	0.9751090398355434	0.9716703424428996	13304042	1319	12881716	328823	422326	0.964354010905657	0.0013633822435558556
NAT	NAT_PEL_EAS	NAT	0.9136893226945247	0.9136893226945247	0.9407805911941002	0.9270370737585516	3325811	1187	3038758	191281	287053	0.8683296115540238	0.00652019189284203
NATMXB	NAT_HGDP	AFR	0.9756803702659359	0.9756803702659359	0.9548869303126799	0.965171670990539	5447328	1279	5314851	251097	132477	0.946745588814969	0.003908404896448557
NATMXB	NAT_HGDP	EUR	0.9750537978389379	0.9750537978389379	0.9794943414557294	0.9772690254053382	13466619	1319	13130678	274890	335941	0.9731588376973026	9.495580222518713e-4
NATMXB	NAT_HGDP	NAT	0.9431879869096071	0.9431879869096071	0.961588582239556	0.9522994075078484	3288213	1183	3101403	123888	186810	0.8942747201910997	0.006214278981979781
NATMXB	NAT_HGDPMXB	AFR	0.9768354319769252	0.9768354319769252	0.9548989702406493	0.9657426476626835	5447328	1279	5321143	251324	126185	0.9483007214020123	0.003926552706768999
NATMXB	NAT_HGDPMXB	EUR	0.9766718728732134	0.9766718728732134	0.9808728398651556	0.9787678486500114	13466619	1319	13152468	256475	314151	0.975046135812438	9.098578792772875e-4
NATMXB	NAT_HGDPMXB	NAT	0.9488485082931063	0.9488485082931063	0.9695563960406255	0.9590906883223316	3288213	1183	3120016	97967	168197	0.9029057983761835	0.006002333043431191
NATMXB	NAT_HOMOG	AFR	0.9767054599980027	0.9767054599980027	0.9547604375316507	0.9656082807570548	5447328	1279	5320435	252099	126893	0.9509840826058558	0.0036627547754816605
NATMXB	NAT_HOMOG	EUR	0.976678036261366	0.976678036261366	0.9806665718251504	0.978668240268316	13466619	1319	13152551	259297	314068	0.9750463945898464	8.856189661213993e-4
NATMXB	NAT_HOMOG	NAT	0.9478868917554915	0.9478868917554915	0.9696440831985506	0.9586420539091483	3288213	1183	3116854	97577	171359	0.9023285098446008	0.006017005783884716
NATMXB	NAT_PEL	AFR	0.9777158636307562	0.9777158636307562	0.9540766103989092	0.9657516008023844	5447328	1279	5325939	256358	121389	0.9526153386286397	0.0036216352089476628
NATMXB	NAT_PEL	EUR	0.9739512939365107	0.9739512939365107	0.980898996988685	0.9774127991008521	13466619	1319	13115831	255404	350788	0.9720586042020165	9.694488620605714e-4
NATMXB	NAT_PEL	NAT	0.9463596184310444	0.9463596184310444	0.9597653999464575	0.9530153677430675	3288213	1183	3111832	130452	176381	0.8998002292230971	0.006025165647433388
NATMXB	NAT_PEL_EAS	AFR	0.9098655340746876	0.9098655340746876	0.9501613209337635	0.929576941752899	5447328	1279	4956336	259974	490992	0.9088562914568623	0.006664051200573109
NATMXB	NAT_PEL_EAS	EUR	0.9020183165499819	0.9020183165499819	0.9764940665008514	0.9377798538177736	13466619	1319	12147137	292403	1319482	0.9216553898329736	0.00567658308716149
NATMXB	NAT_PEL_EAS	NAT	0.9296919025622732	0.9296919025622732	0.6786207573230284	0.7845591702783596	3288213	1183	3057025	1447737	231188	0.8746359429144805	0.006459035876292374
