track	panel	ancestry	n	base_mean	alt_mean	delta	wilcox_p	bonferroni_p	signif
NAT	NAT_PEL	NAT	1187	0.893638203939515	0.8945244513449399	8.862474054248712e-4	0.22262808108003038	1	n.s.
NATMXB	NAT_PEL	NAT	1183	0.8942747201910997	0.8998002292230971	0.005525509031997422	0.007577109996361799	0.20458196990176858	n.s.
NAT	NAT_PEL_EAS	NAT	1187	0.893638203939515	0.8683296115540238	-0.025308592385491123	2.0701656894001488e-22	5.589447361380402e-21	***
NATMXB	NAT_PEL_EAS	NAT	1183	0.8942747201910997	0.8746359429144805	-0.019638777276619106	2.8845687069609905e-14	7.788335508794674e-13	***
NAT	NAT_HGDPMXB	NAT	1187	0.893638203939515	0.8855581556070234	-0.008080048332491499	3.2153554432741466e-9	8.681459696840196e-8	***
NATMXB	NAT_HGDPMXB	NAT	1183	0.8942747201910997	0.9029057983761835	0.008631078185083801	3.36511374949045e-10	9.085807123624215e-9	***
NAT	NAT_HGDPMXB_FULL	NAT	1187	0.893638203939515	0.8803027948916575	-0.013335409047857408	2.3124150092848536e-17	6.243520525069104e-16	***
NAT	NAT_HOMOG	NAT	1187	0.893638203939515	0.8854958660257918	-0.008142337913723168	1.3709642075626234e-7	3.7016033604190833e-6	***
NATMXB	NAT_HOMOG	NAT	1183	0.8942747201910997	0.9023285098446008	0.008053789653501123	8.02342749198781e-7	2.166325422836709e-5	***
NAT	NAT_PEL	EUR	1319	0.9695630176880397	0.9692932295621726	-2.6978812586710415e-4	0.24931212206420186	1	n.s.
NATMXB	NAT_PEL	EUR	1319	0.9731588376973026	0.9720586042020165	-0.0011002334952861135	0.033027895112006274	0.8917531680241694	n.s.
NAT	NAT_PEL_EAS	EUR	1319	0.9695630176880397	0.964354010905657	-0.005209006782382621	2.298203629807862e-18	6.205149800481228e-17	***
NATMXB	NAT_PEL_EAS	EUR	1319	0.9731588376973026	0.9216553898329736	-0.05150344786432907	1.53946286954954e-28	4.156549747783758e-27	***
NAT	NAT_HGDPMXB	EUR	1319	0.9695630176880397	0.9715855295627497	0.002022511874710036	1.4599454276983472e-7	3.941852654785537e-6	***
NATMXB	NAT_HGDPMXB	EUR	1319	0.9731588376973026	0.975046135812438	0.0018872981151354202	3.791524708857056e-8	1.0237116713914052e-6	***
NAT	NAT_HGDPMXB_FULL	EUR	1319	0.9695630176880397	0.9727260635729452	0.0031630458849055995	6.193756513810818e-16	1.6723142587289207e-14	***
NAT	NAT_HOMOG	EUR	1319	0.9695630176880397	0.9717971137184058	0.002234096030366181	2.990348891221961e-7	8.073942006299295e-6	***
NATMXB	NAT_HOMOG	EUR	1319	0.9731588376973026	0.9750463945898464	0.0018875568925438913	1.0923093954978997e-6	2.949235367844329e-5	***
NAT	NAT_PEL	AFR	1279	0.9523834268932665	0.9547354597939697	0.0023520329007031787	5.102539904153224e-5	0.0013776857741213705	**
NATMXB	NAT_PEL	AFR	1279	0.946745588814969	0.9526153386286397	0.005869749813670796	4.0092250530406745e-5	0.0010824907643209821	**
NAT	NAT_PEL_EAS	AFR	1279	0.9523834268932665	0.960986380794615	0.008602953901348452	8.23713438809054e-6	2.2240262847844457e-4	***
NATMXB	NAT_PEL_EAS	AFR	1279	0.946745588814969	0.9088562914568623	-0.03788929735810658	0.9941182318210455	1	n.s.
NAT	NAT_HGDPMXB	AFR	1279	0.9523834268932665	0.9551107820784267	0.002727355185160219	9.83177476250112e-4	0.026545791858753026	*
NATMXB	NAT_HGDPMXB	AFR	1279	0.946745588814969	0.9483007214020123	0.0015551325870433472	7.089701258474032e-4	0.019142193397879887	*
NAT	NAT_HGDPMXB_FULL	AFR	1279	0.9523834268932665	0.957014190771123	0.004630763877856541	1.3165768648954952e-8	3.554757535217837e-7	***
NAT	NAT_HOMOG	AFR	1279	0.9523834268932665	0.9542709920293784	0.0018875651361119309	6.437769782606561e-4	0.017381978413037714	*
NATMXB	NAT_HOMOG	AFR	1279	0.946745588814969	0.9509840826058558	0.004238493790886885	0.004333092624827258	0.11699350087033596	n.s.
