panel	cohort	WGS_recall	WGS_precision	WGS_f1	chip_recall	chip_precision	chip_f1
HGDP + 1KG	Brazilian-like	0.9303	0.9807	0.9549	0.9109	0.9549	0.9324
HGDP + 1KG	Mexican-like	0.9539	0.9846	0.9690	0.9263	0.9591	0.9424
+ 25 MXB	Brazilian-like	0.9198	0.9905	0.9539	0.8989	0.9701	0.9332
+ 25 MXB	Mexican-like	0.9577	0.9912	0.9741	0.9306	0.9666	0.9483
+ 50 MXB	Brazilian-like	0.9017	0.9937	0.9455	0.8938	0.9709	0.9308
+ 50 MXB	Mexican-like						
Homog. Q≥0.95	Brazilian-like	0.9121	0.9873	0.9482	0.9043	0.9675	0.9348
Homog. Q≥0.95	Mexican-like	0.9413	0.9887	0.9644	0.9303	0.9712	0.9503
+ PEL (Peru)	Brazilian-like	0.9314	0.9826	0.9563	0.9099	0.9589	0.9338
+ PEL (Peru)	Mexican-like	0.9529	0.9848	0.9686	0.9272	0.9632	0.9449
+ PEL + EAS	Brazilian-like	0.9170	0.9736	0.9445	0.8834	0.9281	0.9052
+ PEL + EAS	Mexican-like	0.9290	0.9750	0.9514	0.8985	0.9345	0.9162
