density	cohort	panel_key	panel_label	ancestry	n_haps	n_sites	tp	fp	fn	recall	precision	f1
WGS	Brazilian-like	NAT_HGDP	HGDP + 1KG	African	1279	257803774	254140535	8672452	3663239	0.9858	0.9670	0.9763
WGS	Brazilian-like	NAT_HGDP	HGDP + 1KG	European	1319	618379137	608441875	11895904	9937262	0.9839	0.9808	0.9824
WGS	Brazilian-like	NAT_HGDP	HGDP + 1KG	Amerindigenous	1188	154059989	143921061	2870200	10138928	0.9342	0.9804	0.9568
WGS	Brazilian-like	NAT_HGDPMXB	+ 25 MXB	African	1279	257803774	254251200	8690933	3552574	0.9862	0.9669	0.9765
WGS	Brazilian-like	NAT_HGDPMXB	+ 25 MXB	European	1319	618379137	609833320	13588461	8545817	0.9862	0.9782	0.9822
WGS	Brazilian-like	NAT_HGDPMXB	+ 25 MXB	Amerindigenous	1188	154059989	142161991	1450565	11897998	0.9228	0.9899	0.9552
WGS	Brazilian-like	NAT_HGDPMXB_FULL	+ 50 MXB	African	1279	257803774	254367903	8787195	3435871	0.9867	0.9666	0.9765
WGS	Brazilian-like	NAT_HGDPMXB_FULL	+ 50 MXB	European	1319	618379137	610243705	16240892	8135432	0.9868	0.9741	0.9804
WGS	Brazilian-like	NAT_HGDPMXB_FULL	+ 50 MXB	Amerindigenous	1188	154059989	139407981	952483	14652008	0.9049	0.9932	0.9470
WGS	Brazilian-like	NAT_HOMOG	Homog. Q≥0.95	African	1279	257803774	234418166	7948023	23385608	0.9093	0.9672	0.9374
WGS	Brazilian-like	NAT_HOMOG	Homog. Q≥0.95	European	1319	618379137	610380528	33943108	7998609	0.9871	0.9473	0.9668
WGS	Brazilian-like	NAT_HOMOG	Homog. Q≥0.95	Amerindigenous	1188	154059989	141862987	1444041	12197002	0.9208	0.9899	0.9541
WGS	Brazilian-like	NAT_PEL	+ PEL (Peru)	African	1222	249528540	246456455	8583642	3072085	0.9877	0.9663	0.9769
WGS	Brazilian-like	NAT_PEL	+ PEL (Peru)	European	1259	595135434	585550943	10936452	9584491	0.9839	0.9817	0.9828
WGS	Brazilian-like	NAT_PEL	+ PEL (Peru)	Amerindigenous	1136	148986246	139295467	2523655	9690779	0.9350	0.9822	0.9580
WGS	Brazilian-like	NAT_PEL_EAS	+ PEL + EAS	African	568	68970591	68240136	2482922	730455	0.9894	0.9649	0.9770
WGS	Brazilian-like	NAT_PEL_EAS	+ PEL + EAS	European	599	162526999	159332127	2751929	3194872	0.9803	0.9830	0.9817
WGS	Brazilian-like	NAT_PEL_EAS	+ PEL + EAS	Amerindigenous	501	36786770	34313801	940854	2472969	0.9328	0.9733	0.9526
WGS	Mexican-like	NAT_HGDP	HGDP + 1KG	African	1279	252461333	249005402	7917347	3455931	0.9863	0.9692	0.9777
WGS	Mexican-like	NAT_HGDP	HGDP + 1KG	European	1319	625354896	616022246	9768074	9332650	0.9851	0.9844	0.9847
WGS	Mexican-like	NAT_HGDP	HGDP + 1KG	Amerindigenous	1186	152426671	144860009	2524153	7566662	0.9504	0.9829	0.9663
WGS	Mexican-like	NAT_HGDPMXB	+ 25 MXB	African	1279	252461333	249184134	7735678	3277199	0.9870	0.9699	0.9784
WGS	Mexican-like	NAT_HGDPMXB	+ 25 MXB	European	1319	625354896	616980375	9249518	8374521	0.9866	0.9852	0.9859
WGS	Mexican-like	NAT_HGDPMXB	+ 25 MXB	Amerindigenous	1186	152426671	145514435	1444753	6912236	0.9547	0.9902	0.9721
WGS	Mexican-like	NAT_HOMOG	Homog. Q≥0.95	African	1279	252461333	231562168	7220145	20899165	0.9172	0.9698	0.9428
WGS	Mexican-like	NAT_HOMOG	Homog. Q≥0.95	European	1319	625354896	617478637	27103920	7876259	0.9874	0.9580	0.9725
WGS	Mexican-like	NAT_HOMOG	Homog. Q≥0.95	Amerindigenous	1186	152426671	145311457	1445258	7115214	0.9533	0.9902	0.9714
WGS	Mexican-like	NAT_PEL	+ PEL (Peru)	African	1220	243218839	219825641	7480381	23393198	0.9038	0.9671	0.9344
WGS	Mexican-like	NAT_PEL	+ PEL (Peru)	European	1259	602800925	593855140	29682609	8945785	0.9852	0.9524	0.9685
WGS	Mexican-like	NAT_PEL	+ PEL (Peru)	Amerindigenous	1135	147630456	140215288	2416398	7415168	0.9498	0.9831	0.9661
